"","file_id","compound","Identifier 1","depth","measurement_info","ampl_sample_mean.mV","file_datetime","type","Ampl 44","true_d13C","true_d13C_pred","true_d13C_pred_se","true_d13C_pred_in_range","d13C_resid"
"21","447__OG005_F1 alkanes_122m_S31_1ul_50ng.dxf","C20","OG005_F1 alkanes_122m","122","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:2"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","2112.90741760465","1485215850","sample","2665.70332558182","NA","-29.8373438799347","0.371164938890363","TRUE","NA"
"22","447__OG005_F1 alkanes_122m_S31_1ul_50ng.dxf","C21","OG005_F1 alkanes_122m","122","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:2"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","2112.90741760465","1485215850","sample","3242.84373046358","NA","-30.0584078761858","0.371090607978342","TRUE","NA"
"23","447__OG005_F1 alkanes_122m_S31_1ul_50ng.dxf","C22","OG005_F1 alkanes_122m","122","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:2"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","2112.90741760465","1485215850","sample","3171.1105927688","NA","-29.8366492510981","0.371165189554776","TRUE","NA"
"24","447__OG005_F1 alkanes_122m_S31_1ul_50ng.dxf","C23","OG005_F1 alkanes_122m","122","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:2"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","2112.90741760465","1485215850","sample","2669.86200923861","NA","-29.3314102178468","0.371382279487814","TRUE","NA"
"25","447__OG005_F1 alkanes_122m_S31_1ul_50ng.dxf","C24","OG005_F1 alkanes_122m","122","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:2"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","2112.90741760465","1485215850","sample","2052.66348447147","NA","-29.0565653450767","0.371527869238872","TRUE","NA"
"26","447__OG005_F1 alkanes_122m_S31_1ul_50ng.dxf","C25","OG005_F1 alkanes_122m","122","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:2"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","2112.90741760465","1485215850","sample","2192.75700961805","NA","-29.2585074374527","0.371419013012149","TRUE","NA"
"27","447__OG005_F1 alkanes_122m_S31_1ul_50ng.dxf","C26","OG005_F1 alkanes_122m","122","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:2"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","2112.90741760465","1485215850","sample","1896.79435348191","NA","-29.2457607605763","0.371425573394742","TRUE","NA"
"28","447__OG005_F1 alkanes_122m_S31_1ul_50ng.dxf","Sterane","OG005_F1 alkanes_122m","122","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:2"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","2112.90741760465","1485215850","sample","178.07222606489","NA","-28.0492840548461","0.372226665025811","TRUE","NA"
"29","447__OG005_F1 alkanes_122m_S31_1ul_50ng.dxf","C27","OG005_F1 alkanes_122m","122","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:2"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","2112.90741760465","1485215850","sample","2094.6946254553","NA","-29.1534465196924","0.371474342676409","TRUE","NA"
"30","447__OG005_F1 alkanes_122m_S31_1ul_50ng.dxf","C28","OG005_F1 alkanes_122m","122","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:2"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","2112.90741760465","1485215850","sample","1455.00013756383","NA","-29.5487057469432","0.371280880195335","TRUE","NA"
"31","447__OG005_F1 alkanes_122m_S31_1ul_50ng.dxf","C29","OG005_F1 alkanes_122m","122","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:2"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","2112.90741760465","1485215850","sample","1822.3674635111","NA","-28.7423630807824","0.371718019375569","TRUE","NA"
"32","447__OG005_F1 alkanes_122m_S31_1ul_50ng.dxf","C30","OG005_F1 alkanes_122m","122","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:2"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","2112.90741760465","1485215850","sample","235.115583091241","NA","-27.1951504300642","0.373021739005289","TRUE","NA"
"33","448__OG008_F1 alkanes_118m_S96_1ul_50ng.dxf","C15","OG008_F1 alkanes_118m","118","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:3"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","1596.48003874981","1485219741","sample","395.66745448685","NA","-30.4590744929767","0.370987911618675","TRUE","NA"
"34","448__OG008_F1 alkanes_118m_S96_1ul_50ng.dxf","C16","OG008_F1 alkanes_118m","118","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:3"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","1596.48003874981","1485219741","sample","1197.90852772434","NA","-31.7073603342876","0.370932820155777","TRUE","NA"
"35","448__OG008_F1 alkanes_118m_S96_1ul_50ng.dxf","pristane","OG008_F1 alkanes_118m","118","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:3"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","1596.48003874981","1485219741","sample","4411.03353138214","NA","-29.8851992021014","0.371147784066137","TRUE","NA"
"36","448__OG008_F1 alkanes_118m_S96_1ul_50ng.dxf","phytane","OG008_F1 alkanes_118m","118","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:3"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","1596.48003874981","1485219741","sample","2210.35082224994","NA","-30.249668261019","0.371036435578188","TRUE","NA"
"37","448__OG008_F1 alkanes_118m_S96_1ul_50ng.dxf","C19","OG008_F1 alkanes_118m","118","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:3"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","1596.48003874981","1485219741","sample","2378.17649015025","NA","-29.7310610620457","0.371205141054208","TRUE","NA"
"38","448__OG008_F1 alkanes_118m_S96_1ul_50ng.dxf","C20","OG008_F1 alkanes_118m","118","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:3"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","1596.48003874981","1485219741","sample","2199.21290094848","NA","-29.9992041947189","0.371109279039065","TRUE","NA"
"39","448__OG008_F1 alkanes_118m_S96_1ul_50ng.dxf","C21","OG008_F1 alkanes_118m","118","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:3"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","1596.48003874981","1485219741","sample","2161.38778655448","NA","-29.216869663993","0.371440601812329","TRUE","NA"
"40","448__OG008_F1 alkanes_118m_S96_1ul_50ng.dxf","C22","OG008_F1 alkanes_118m","118","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:3"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","1596.48003874981","1485219741","sample","1963.42182586942","NA","-28.8897194186441","0.371625699576575","TRUE","NA"
"41","448__OG008_F1 alkanes_118m_S96_1ul_50ng.dxf","C23","OG008_F1 alkanes_118m","118","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:3"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","1596.48003874981","1485219741","sample","1839.60080126164","NA","-28.8049469920262","0.371678134374357","TRUE","NA"
"42","448__OG008_F1 alkanes_118m_S96_1ul_50ng.dxf","C24","OG008_F1 alkanes_118m","118","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:3"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","1596.48003874981","1485219741","sample","1526.25805949138","NA","-28.7388410893015","0.371720294766308","TRUE","NA"
"43","448__OG008_F1 alkanes_118m_S96_1ul_50ng.dxf","C25","OG008_F1 alkanes_118m","118","c(""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"", ""Set Reference Dilution to 76 [%]"", ""Activate Combustion Mode ..."", ""Trayholder 1:Slot1:3"", ""Peak Center found at [62065]"", ""Sample Dilution found at 0 []"", ""Set Sample Dilution to 0 [%]"", ""Sample dilution: 001 0"")","1596.48003874981","1485219741","sample","1513.98256330883","NA","-28.9733598849742","0.371575767184569","TRUE","NA"
